UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
75319742,NA,Bakassi,Abakpa (Abakaliki),2022,34,78,34,4,1,0.11764705882352941,0.11764705882352941,NA,NA,NA
55243306,NA,Akpabuyo,Atimbo East,2022,249,423,176,62,0.7068273092369478,0.24899598393574296,0.3522727272727273,NA,NA,NA
40158241,NA,Akpabuyo,Atimbo East,2022,87,195,56,45,0.6436781609195402,0.5172413793103449,0.8035714285714286,NA,NA,NA
37829533,NA,Akpabuyo,Atimbo East,2022,171,456,133,78,0.7777777777777778,0.45614035087719296,0.5864661654135338,NA,NA,NA
78212289,NA,Akpabuyo,Atimbo East,2022,219,719,178,117,0.8127853881278538,0.5342465753424658,0.6573033707865169,NA,NA,NA
51353651,NA,Calabar Municipal,Edim Otop,2022,27,46,14,2,0.5185185185185185,0.07407407407407407,0.14285714285714285,NA,NA,NA
43186129,NA,Akpabuyo,Atimbo East,2022,196,349,154,37,0.7857142857142857,0.18877551020408162,0.24025974025974026,NA,NA,NA
81683147,NA,Calabar Municipal,Ikot Ishie,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
51777521,NA,Akpabuyo,Ikot Eyo,2022,249,431,189,5,0.7590361445783133,0.020080321285140562,0.026455026455026454,NA,NA,NA
75631355,NA,Akpabuyo,Atimbo East,2022,139,228,100,15,0.7194244604316546,0.1079136690647482,0.15,NA,NA,NA
13042503,NA,Akpabuyo,Edet Nsa,2022,169,426,151,84,0.893491124260355,0.4970414201183432,0.5562913907284768,NA,NA,NA
30909141,NA,Akpabuyo,Atimbo West,2022,93,99,76,4,0.8172043010752689,0.043010752688172046,0.05263157894736842,NA,NA,NA
15560104,NA,Akpabuyo,Effanga Offiong,2022,149,305,148,8,0.9932885906040269,0.053691275167785234,0.05405405405405406,NA,NA,NA
76843300,NA,Akpabuyo,Effanga Offiong,2022,271,568,201,62,0.7416974169741697,0.22878228782287824,0.30845771144278605,NA,NA,NA
80091381,NA,Bakassi,Abakpa (Abakaliki),2022,69,86,56,0,0.8115942028985508,0,0,NA,NA,NA
48579705,NA,Akpabuyo,Atimbo West,2022,63,197,55,36,0.873015873015873,0.5714285714285714,0.6545454545454545,NA,NA,NA
21537376,NA,Akpabuyo,Atimbo East,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
73113420,NA,Akpabuyo,Ikot Eyo,2022,164,311,148,25,0.9024390243902439,0.1524390243902439,0.16891891891891891,NA,NA,NA
87073636,NA,Akpabuyo,Eneyo South,2022,31,93,30,19,0.967741935483871,0.6129032258064516,0.6333333333333333,NA,NA,NA
29948088,NA,Akpabuyo,Eneyo South,2022,173,325,169,11,0.976878612716763,0.06358381502890173,0.0650887573964497,NA,NA,NA
